,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
669,2794,30 person startup,"munich, germany",10,51.0,9.0,3,2,6.0,1.0,0.004474708171206225,21800.483568075117,8066.263736263736
670,2798,us based company,"athens, greece (remote)",43,39.0,22.0,3,2,8.0,1.5,0.00943579766536965,21800.483568075117,2000.0
671,2799,transplace,"greenville, sc",1,34.83,-82.37,333,2,5.0,4.0,0.007295719844357977,21800.483568075117,8066.263736263736
672,2801,small agency,ireland,14,53.0,-8.0,2,2,15.0,1.0,0.0048638132295719845,0.0,3000.0
673,2803,tut,south africa,19,-29.0,24.0,334,3,15.0,8.0,0.02529182879377432,21800.483568075117,8066.263736263736
674,2804,n-a,switzerland,28,47.0,8.0,335,3,6.0,1.0,0.011186770428015564,0.0,0.0
675,2807,microsoft,"seattle, wa",1,47.61,-122.33,336,2,7.0,7.0,0.01264591439688716,30000.0,12000.0
676,2818,reply spa,"milan, italy",49,42.83,12.83,33,3,4.0,1.0,0.0030155642023346305,0.0,2000.0
677,2822,tt-netvÌ_rket,denmark,34,56.0,10.0,337,3,3.0,3.0,0.001313229571984436,21800.483568075117,8066.263736263736
678,2832,freelance,"cluj-napoca, romania",3,21.0,57.0,13,2,8.0,1.0,0.004085603112840467,21800.483568075117,8066.263736263736
679,2839,early stage startup,"stockholm, sweden",4,62.0,15.0,338,1,10.0,0.5,0.007101167315175097,0.0,0.0
680,2845,axis communications,"lund, sweden",4,62.0,15.0,339,2,9.0,6.0,0.04961089494163424,21800.483568075117,8066.263736263736
681,2847,oracle,"cape town, south africa",19,-29.0,24.0,13,2,0.0,1.0,0.0031128404669260703,21800.483568075117,8066.263736263736
682,2851,30 person startup,"new haven, ct, usa",1,41.31,-72.92,340,1,10.0,3.0,0.008754863813229572,0.0,0.0
683,2862,northwestern mutual,"milwaukee, wi",1,43.06,-87.96,341,6,13.0,11.0,0.009922178988326848,21800.483568075117,21000.0
684,2868,inria,france,11,46.0,2.0,168,1,10.0,1.0,0.0031128404669260703,0.0,0.0
685,2876,school,bermuda,50,32.33,-64.75,342,7,8.0,0.5,0.00953307392996109,0.0,0.0
686,2878,supplyhog,"chattanooga, tn",1,35.06,-85.25,256,2,6.0,4.0,0.007976653696498054,21800.483568075117,8066.263736263736
687,2881,spam spa,italy,49,42.83,12.83,13,2,10.0,5.0,0.003404669260700389,0.0,0.0
688,2885,station ag,switzerland zurich,28,47.0,8.0,7,4,1.0,1.0,0.005836575875486381,21800.483568075117,5000.0
689,2886,technicolor,france,11,46.0,2.0,343,3,8.0,1.0,0.008754863813229572,0.0,10.0
690,2890,office depot,"boca raton, fl",1,26.37,-80.1,344,1,25.0,9.0,0.009727626459143969,0.0,15000.0
691,2893,curtiss-wright,"hatfield, pa",1,40.27,-75.29,345,2,2.0,3.0,0.007101167315175097,0.0,1000.0
692,2900,bestbuy,richfield mn,1,38.0,-97.0,346,4,3.0,1.0,0.010700389105058366,21800.483568075117,27000.0
693,2901,abc,india,15,20.0,77.0,13,2,10.0,4.0,0.038910505836575876,21800.483568075117,8066.263736263736
694,2906,parisian startup,"paris, france",11,46.0,2.0,309,2,4.0,2.0,0.004961089494163424,2500.0,8066.263736263736
695,2908,western union,montvale nj,1,38.0,-97.0,347,3,18.0,2.0,0.01264591439688716,21800.483568075117,20000.0
696,2909,interactive intelligence,indianapolis in,15,20.0,77.0,262,6,8.0,4.0,0.008122568093385215,0.0,15000.0
697,2912,multinational mobile sector,"madrid, spain",7,40.0,-4.0,3,2,7.0,5.0,0.0029182879377431907,21800.483568075117,1500.0
698,2913,local webdev company,germany,10,51.0,9.0,348,4,20.0,2.0,0.0036575875486381322,21800.483568075117,500.0
699,2921,150 person it consulting company,"munich, germany",10,51.0,9.0,136,3,9.0,5.0,0.006809338521400778,0.0,3000.0
700,2923,mirantis,"moscow, russia",42,60.0,100.0,349,2,6.0,1.0,0.003385214007782101,0.0,0.0
701,2924,healthcare system,"grand rapids, mi",1,42.96,-85.65,350,5,5.0,1.0,0.007490272373540856,0.0,500.0
702,2933,a media company,new york,1,38.0,-97.0,351,3,3.0,1.0,0.020428015564202335,21800.483568075117,50.0
703,2934,independent school system,kentucky,1,38.0,-97.0,4,3,5.0,2.0,0.0021400778210116734,0.0,0.0
704,2935,of grenoble,"grenoble, france",11,46.0,2.0,62,3,4.0,1.0,0.0032782101167315174,21800.483568075117,8066.263736263736
705,2936,celtra,slovenia,51,46.12,14.82,11,2,9.0,1.0,0.0031128404669260703,0.0,9600.0
706,2954,highmark,"pittsburgh, pa",1,40.35,-79.9,352,3,8.0,2.0,0.008754863813229572,5000.0,0.0
707,2957,attain,"jblm, wa",1,47.05,-122.55,33,3,6.0,3.0,0.00632295719844358,3000.0,0.0
708,2962,grab,singapore,38,1.37,103.8,353,2,1.0,1.0,0.006809338521400778,0.0,10000.0
709,2969,salsify,"boston, ma",1,42.35,-71.06,6,2,5.0,1.0,0.01264591439688716,0.0,0.0
710,2973,cirrus logic,"austin, tx",1,30.26,-97.74,354,1,15.0,1.0,0.013618677042801557,10000.0,15000.0
711,2974,amazon,"cambridge, ma",1,42.35,-71.06,355,2,3.5,3.5,0.011575875486381323,21800.483568075117,8066.263736263736
712,2979,cybercom group,sweden,4,62.0,15.0,13,2,5.0,1.0,0.004669260700389105,0.0,0.0
713,2980,software factory,argentina,37,-34.0,-64.0,356,2,3.0,3.0,0.002256809338521401,0.0,0.0
714,2992,ullink,"cluj-napoca, romania",3,21.0,57.0,13,2,5.0,0.5,0.002626459143968872,3000.0,8066.263736263736
715,2995,startup (20 people),"austin, tx",1,30.26,-97.74,11,2,5.0,3.0,0.00894941634241245,2000.0,0.0
716,2996,manitoba public insurance,"winnipeg, mb canada",2,60.0,-95.0,144,5,6.0,6.0,0.006923631322957198,0.0,0.0
717,3001,ibm,"durham, nc",1,35.98,-78.91,3,2,2.0,2.0,0.007295719844357977,3000.0,8066.263736263736
718,3006,startup,new york city,1,38.0,-97.0,3,2,4.0,1.0,0.014105058365758755,0.0,0.0
719,3010,ernst & young,"dallas, tx",1,32.79,-96.76,357,3,2.5,2.5,0.007295719844357977,3000.0,8066.263736263736
720,3016,startup,"phoenix, az",1,33.45,-112.06,11,2,1.0,1.0,0.006031128404669261,0.0,5000.0
721,3017,shutterstock,new york city,1,38.0,-97.0,212,2,10.0,2.0,0.01556420233463035,5000.0,10.0
722,3019,divid,"jÌ¦nkÌ¦ping, sweden",4,62.0,15.0,13,2,10.0,3.0,0.004669260700389105,0.0,1500.0
723,3023,ibm,"durham, nc",1,35.98,-78.91,358,3,25.0,1.0,0.011381322957198443,10000.0,0.0
724,3025,mount anthony union hs,vermont,1,38.0,-97.0,359,3,20.0,7.0,0.00632295719844358,0.0,0.0
725,3029,medium financial firm,"columbus, oh",1,39.98,-82.98,140,6,5.0,3.0,0.005933852140077821,21800.483568075117,2000.0
726,3032,oklahoma,oklahoma city,1,38.0,-97.0,360,5,10.0,4.0,0.005836575875486381,0.0,0.0
727,3036,cerner,"kansas city, mo",1,39.1,-94.62,170,2,8.0,8.0,0.00963035019455253,0.0,0.0
728,3040,allflex usa,"irving, tx",1,32.85,-96.96,361,2,8.0,0.0,0.008754863813229572,10000.0,0.0
729,3055,american express,"st petersburg, fl",1,27.75,-82.64,11,2,0.0,0.5,0.007636186770428015,5000.0,8066.263736263736
730,3059,code 42,"minneapolis, mn",1,44.96,-93.26,15,2,4.5,2.5,0.007354085603112841,21800.483568075117,4000.0
731,3060,orbital atk,"wallops island, virginia",1,37.84,-75.47,72,1,2.0,1.0,0.006405642023346304,0.0,0.0
732,3064,code 42,"minneapolis, mn",1,44.96,-93.26,6,2,9.0,4.0,0.00933852140077821,0.0,5000.0
733,3071,amazon,"seattle, wa",1,47.61,-122.33,362,2,10.0,1.5,0.011673151750972763,50000.0,0.0
734,3073,radialpoint,"montreal, quebec, canada",2,60.0,-95.0,61,2,3.0,6.0,0.008404669260700388,21800.483568075117,7000.0
735,3076,central  of las villas,"santa clara, cuba",52,21.5,-80.0,363,4,18.0,15.0,2.3346303501945526e-05,0.0,0.0
736,3078,local college,"philadelphia, pa",1,39.95,-75.16,7,4,7.0,0.0,0.006031128404669261,0.0,0.0
737,3081,docnetwork,"ann arbor, michigan",1,42.27,-83.73,11,2,5.0,0.0,0.004085603112840467,0.0,0.0
738,3082,simplify digital,"aveiro, portugal",33,39.5,-8.0,13,2,4.0,2.0,0.0024319066147859923,0.0,0.0
739,3086,hewlett packard enterprise,serbia,53,44.0,21.0,285,1,17.0,3.0,0.003035019455252918,21800.483568075117,8066.263736263736
740,3087,mid-size startup (series b),"new york, ny",1,40.71,-73.99,364,2,6.0,2.0,0.016536964980544747,0.0,0.0
741,3089,the boss,netherlands,29,52.5,5.75,11,2,10.0,2.0,0.003501945525291829,0.0,8066.263736263736
742,3094,laika,"portland, or",1,45.44,-122.52,140,6,3.0,0.0,0.007490272373540856,0.0,2000.0
743,3095,anonymous startup,"cambridge, ma",1,42.35,-71.06,170,2,20.0,3.0,0.012451361867704281,0.0,0.0
744,3096,missouri s&t,"rolla, mo",1,37.94,-91.76,140,6,15.0,10.0,0.005447470817120622,0.0,0.0
745,3097,customers bank,shillington pa,1,38.0,-97.0,365,6,9.0,0.25,0.007392996108949416,0.0,1000.0
746,3098,freelance,british columbia,2,60.0,-95.0,366,3,10.0,2.0,0.01556420233463035,21800.483568075117,8066.263736263736
747,3100,epic,"madison, wi",1,43.1,-89.5,367,1,7.0,5.0,0.007101167315175097,0.0,5000.0
748,3101,china airlines,taiwan,54,23.5,121.0,368,3,1.0,1.0,0.001264591439688716,0.0,1500.0
749,3102,maine oit,"augusta, me",1,44.33,-69.72,369,3,9.0,1.0,0.0038910505836575876,0.0,2000.0
750,3104,twilio,"san francisco, ca",1,37.77,-122.41,6,2,10.0,3.0,0.013132295719844358,5000.0,8066.263736263736
751,3108,us army,"radford, va",1,37.12,-80.55,370,3,6.0,6.0,0.007003891050583658,0.0,2000.0
752,3120,zillow,"seattle, wa",1,47.61,-122.33,371,2,4.0,1.0,0.013618677042801557,30000.0,0.0
753,3123,altice labs,"aveiro, portugal",33,39.5,-8.0,3,2,5.0,1.0,0.0022373540856031127,0.0,0.0
754,3126,coupang,"palo alto, ca",1,37.44,-122.15,3,2,3.0,1.0,0.012159533073929961,21800.483568075117,8066.263736263736
