,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
225,1007,vitelity communications,"englewood, co",US,39.76,-104.87,software engineer,Software,5.0,3.0,70000.0,21800.483568075117,8066.263736263736
226,1009,amazon,"santa monica, ca",US,34.01,-118.49,sde i,Software,1.0,1.0,95000.0,27000.0,0.0
227,1011,digitalocean,virginia,US,38.0,-97.0,ruby engineer,Engineering,10.0,1.0,130000.0,0.0,7000.0
228,1019,photo hosting company,"mountain view, ca",US,37.41,-122.05,engineer,Engineering,13.0,3.0,150000.0,0.0,2000.0
229,1025,ixl learning,"san mateo, ca",US,37.57,-122.32,sr. software engineer,Software,4.0,3.0,125000.0,0.0,0.0
230,1026,mitre,bedford ma,US,38.0,-97.0,lead software systems engineer,Software,10.0,6.0,111500.0,3500.0,0.0
231,1027,ibm,south carolina,US,38.0,-97.0,senior systems analyst,Data,16.0,10.0,94000.0,21800.483568075117,0.0
232,1029,6 person startup,"san francisco, ca",US,37.77,-122.41,software engineer,Software,2.0,0.0,105000.0,5000.0,8066.263736263736
233,1033,self,"minneapolis, mn",US,44.96,-93.26,senior front-end/full-stack developer,Web,8.0,1.0,135000.0,21800.483568075117,8066.263736263736
234,1037,e commerce company,"boston, ma",US,42.35,-71.06,‰ÛÜsr engineer,Engineering,12.0,4.0,135000.0,0.0,20000.0
235,1038,cgi,canada,CA,60.0,-95.0,senior consultant,Other,5.0,4.0,40000.0,0.0,800.0
236,1040,ecommerce startup,"salt lake city, ut",US,40.75,-111.9,magento developer,Software,6.0,1.5,37500.0,0.0,15.0
237,1041,state of california,"sacramento, ca",US,38.58,-121.49,staff programmer,Other,4.0,3.0,65000.0,21800.483568075117,8066.263736263736
238,1042,startup,"adelaide, australia",AU,-27.0,133.0,senior software engineer,Software,15.0,4.0,85000.0,0.0,0.0
239,1043,dish,"denver, co",US,39.82,-105.1,software engineer,Software,1.0,1.0,70000.0,0.0,0.0
240,1044,uppsala,sweden,SE,62.0,15.0,post-doc,Other,6.0,6.0,51000.0,21800.483568075117,8066.263736263736
241,1053,the motley fool,"alexandria, va",US,38.86,-77.05,systems administrator,Management,5.0,2.0,85000.0,0.0,8066.263736263736
242,1054,ut dallas,plano tx,US,38.0,-97.0,programmer iii,Other,4.0,2.5,67500.0,0.0,0.0
243,1058,datis hr cloud,"tampa, fl",US,27.95,-82.48,software developer,Software,15.0,0.0,115000.0,5000.0,2500.0
244,1063,microsoft,"redmond, wa",US,47.68,-122.12,software engineer,Software,7.0,7.0,144000.0,0.0,20000.0
245,1064,ibm,"austin, tx",US,30.26,-97.74,software engineer,Software,1.0,1.0,101000.0,10000.0,8066.263736263736
246,1065,washington post,"washington, dc",US,38.0,-97.0,full stack developer,Web,3.0,1.0,80000.0,5000.0,0.0
247,1066,big  via middleman agency,south of france,FR,46.0,2.0,front-end engineer,Web,5.0,3.0,42000.0,1000.0,0.0
248,1067,springfield power company,"springsfield, co",US,38.0,-97.0,nuclear safety inspector,Other,30.0,30.0,24395.8,0.0,0.0
249,1075,ontact,"salt lake city, ut",US,40.75,-111.9,senior software engineer,Software,7.0,4.0,95000.0,0.0,8000.0
250,1076,small consulting firm,"arlington, va",US,38.86,-77.05,software developer,Software,0.5,0.5,70000.0,5000.0,8066.263736263736
251,1080,accenture,washington dc,US,38.0,-97.0,analyst,Data,2.0,2.0,72000.0,5000.0,5000.0
252,1084,client in hr,france - lyon,FR,46.0,2.0,developer,Software,1.0,1.0,25000.0,0.0,0.0
253,1085,school of visual arts,"new york, ny",US,40.71,-73.99,systems administration,Management,15.0,3.0,45000.0,21800.483568075117,8066.263736263736
254,1087,onera,"toulouse, france",FR,46.0,2.0,phd candidate,Other,5.0,4.0,32000.0,0.0,0.0
255,1088,amazon,"seattle, wa",US,47.61,-122.33,technical program manager,Management,10.0,0.0,130000.0,37000.0,8066.263736263736
256,1091,think big,"mountain view, ca",US,37.41,-122.05,senior data engineer,Data,5.0,4.0,145000.0,0.0,15000.0
257,1093,microsoft,"redmond, wa",US,47.68,-122.12,software engineer ii,Software,7.0,7.0,128000.0,30000.0,10000.0
258,1094,(private),"boston, ma",US,42.35,-71.06,creative director + designer/developer,Management,12.0,4.0,100000.0,0.0,0.0
259,1098,pricewaterhousecoopers,australia,AU,-27.0,133.0,senior software engineer,Software,5.0,1.0,97000.0,0.0,2000.0
260,1106,kbc,belgium,BE,50.83,4.0,data scientist,Data,5.0,2.0,69000.0,0.0,5000.0
261,1112,startup (15-20 people),"san francisco, ca",US,37.77,-122.41,senior software engineer,Software,6.0,0.5,150000.0,21800.483568075117,8066.263736263736
262,1113,epic systems,"verona, wisconsin",US,42.98,-89.53,software developer,Software,0.9,0.9,95000.0,10000.0,8066.263736263736
263,1120,bah,maryland,US,38.0,-97.0,senior software engineer,Software,15.0,1.0,101000.0,0.0,0.0
264,1122,freelance,"portland, or",US,45.44,-122.52,front-end developer,Web,1.0,1.0,75000.0,21800.483568075117,8066.263736263736
265,1123,microsoft,"redmond, wa",US,47.68,-122.12,service engineer,Engineering,3.0,1.0,105000.0,5000.0,8066.263736263736
266,1126,hcl america,"redmond, wa",US,47.68,-122.12,system administrator,Management,10.0,2.0,55000.0,0.0,0.0
267,1128,fcsa,"omaha, ne",US,41.15,-95.92,software engineer - consultant,Software,12.0,1.0,150000.0,0.0,0.0
268,1133,life time fitness,"louisville, co",US,39.96,-105.14,software engineer,Software,5.0,1.0,75000.0,0.0,0.0
269,1134,ergon energy,"brisbane, australia",AU,-27.0,133.0,senior telecommunications specialist,Other,10.0,1.0,1250000.0,0.0,0.0
270,1135,nav canada,"ottawa, canada",CA,60.0,-95.0,software developer,Software,5.0,1.0,83000.0,0.0,0.0
271,1137,billups,97034,US,45.4,-122.68,director of product management,Management,15.0,1.0,135000.0,0.0,0.0
272,1146,reply spa,germany,DE,51.0,9.0,consultant,Other,0.0,0.0,45000.0,0.0,0.0
273,1148,bitdefender srl,"cluj-napoca, romania",OM,21.0,57.0,software engineer,Software,2.0,2.0,21500.0,0.0,0.0
274,1162,buffer,"toronto, on",CA,60.0,-95.0,mobile engineering lead,Engineering,6.0,2.0,103595.0,0.0,0.0
